code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-07-16,648086400000,112.85,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.61
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-07-23,648691200000,112.78,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.68
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-07-30,649296000000,112.72,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.74
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-08-06,649900800000,112.66,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.8
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-08-13,650505600000,112.59,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.87
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-08-20,651110400000,112.53,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.93
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-08-25,651542400000,112.47,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.99
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-08-30,651974400000,112.44,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.02
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-09-06,652579200000,112.4,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.06
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-09-13,653184000000,112.37,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.09
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-09-20,653788800000,112.33,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.13
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-09-27,654393600000,112.29,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.17
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-10-04,654998400000,112.26,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.2
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-10-11,655603200000,112.22,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.24
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-10-18,656208000000,112.21,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.25
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-10-25,656812800000,112.19,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.27
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-01,657417600000,112.18,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.28
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-05,657763200000,112.16,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.3
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-09,658108800000,112.16,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.3
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-16,658713600000,112.15,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.31
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-23,659318400000,112.14,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.32
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-11-29,659836800000,112.13,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.33
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-12-06,660441600000,112.12,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.34
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-12-13,661046400000,112.11,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.35
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-12-20,661651200000,112.09,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.37
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-12-27,662256000000,112.08,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.38
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-02,662774400000,112.07,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.39
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-08,663292800000,112.06,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.4
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-15,663897600000,112.02,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.44
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-22,664502400000,111.98,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.48
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-26,664848000000,111.95,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.51
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-01-30,665193600000,111.94,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.52
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-02-06,665798400000,111.92,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.54
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-02-13,666403200000,111.91,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.55
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-02-20,667008000000,111.89,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.57
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-02-26,667526400000,111.87,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.59
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-03-04,668044800000,111.86,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.6
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-03-11,668649600000,111.86,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.6
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-03-15,668995200000,111.85,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.61
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-03-19,669340800000,111.85,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.61
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-03-26,669945600000,111.84,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.62
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-04-02,670550400000,111.83,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.63
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-04-08,671068800000,111.82,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.64
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-04-15,671673600000,111.81,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.65
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-04-22,672278400000,111.77,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.69
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-04-29,672883200000,111.74,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.72
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-05-06,673488000000,111.7,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.76
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-05-13,674092800000,111.66,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.8
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-05-18,674524800000,111.63,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.83
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-05-23,674956800000,111.61,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.85
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1991-05-30,675561600000,111.58,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,25.88
